Recency,Frequency,Monetary,Cluster_2,Cluster_4,Segment,PCA1,PCA2
22,1,133.4,0,2,Recent Customers,-1.1250351191757324,-1.304989546247334
58,1,1002.3100000000001,0,1,At Risk,-0.5317275718147376,0.024343296658344463
243,1,476.49,0,1,At Risk,-1.4260920664466161,0.6538704608697516
44,1,449.45,0,1,At Risk,-0.8079636878164131,-0.43903349932675323
22,4,4067.29,1,3,Regular Customers,1.3210257706723225,0.2875038321942634
156,2,197.88,0,1,At Risk,-1.306056198917349,0.21046705375335104
11,5,9035.52,1,0,Champions,2.112925076773832,0.23546836764501652
17,2,430.57,0,2,Recent Customers,-0.11135500586330375,-0.8803989328176374
134,1,707.09,0,1,At Risk,-1.0131593914967436,0.4221546498588045
56,1,3528.34,0,3,Regular Customers,0.07784195169939714,0.46057975535664125
73,6,2466.86,1,3,Regular Customers,0.9420778202771108,0.9749548195890568
44,3,3181.04,1,3,Regular Customers,0.7462267995283678,0.5381395796359464
66,7,2363.23,1,3,Regular Customers,1.0805244543590673,0.9474134406036192
71,2,947.4,0,3,Regular Customers,-0.2675919007918487,0.28517784646767835
94,2,826.88,0,3,Regular Customers,-0.4379274613336822,0.4114133757804805
19,2,1189.59,1,2,Recent Customers,0.32955847643532865,-0.4440218682474485
53,4,1344.78,1,3,Regular Customers,0.4704602503534377,0.42566102538110623
10,8,1212.05,1,0,Champions,1.5608838036927173,-0.39596473007003735
17,2,742.1899999999999,0,2,Recent Customers,0.14635897650833335,-0.6824458788213991
188,2,729.5400000000001,0,1,At Risk,-0.76000185750272,0.801922719949755
2,30,19788.65,1,0,Champions,4.500157896007693,0.2703254325940958
32,7,6572.11,1,0,Champions,1.835890242707291,0.8708810509213992
29,5,3928.0499999999997,1,3,Regular Customers,1.3679908352261012,0.5130007519069132
17,18,7324.09,1,0,Champions,2.9014950615762554,0.8569584305410011
54,1,723.38,0,1,At Risk,-0.6593628696365753,-0.13879895795556207
16,11,6816.42,1,0,Champions,2.47346069209353,0.6187847328639414
23,6,13219.74,1,0,Champions,2.1680513633274323,0.8724292715313827
4,1,680.99,0,2,Recent Customers,0.22803622352635264,-1.6808727588084136
11,1,527.2,0,2,Recent Customers,-0.2275567948698618,-1.2189504713963086
28,4,3281.63,1,3,Regular Customers,1.1307347445464115,0.35630102468538094
23,10,5579.82,1,0,Champions,2.1680990724411235,0.7312141135954899
17,8,2484.98,1,0,Champions,1.7129791807884853,0.17756097288612024
33,6,4527.32,1,3,Regular Customers,1.5269716617406377,0.7030118588458398
10,3,1298.66,1,2,Recent Customers,0.8598047830029948,-0.6810442653595113
336,1,334.93,0,1,At Risk,-1.7161770951076065,0.7305087309119223
5,10,5417.93,1,0,Champions,2.6837028712990727,-0.15832884135733757
39,1,460.40000000000003,0,2,Recent Customers,-0.7515824106837363,-0.5049528382479768
63,2,263.21000000000004,0,1,At Risk,-0.8285850470621623,-0.2549538399836605
166,2,433.74,0,1,At Risk,-0.9588321078895172,0.534436039407277
16,7,1246.1000000000001,1,3,Regular Customers,1.3011419521075773,-0.15497304911245915
82,1,1043.1,0,1,At Risk,-0.6432092506315917,0.2552214310723991
21,3,403.70000000000005,0,2,Recent Customers,0.0418210024225287,-0.6665548903395591
23,11,4257.82,1,0,Champions,2.1186473523658482,0.6660373849559306
337,1,2169.39,0,1,At Risk,-0.8326487750411842,1.4119046413882128
96,5,3723.87,1,3,Regular Customers,0.894407334777773,1.2374971151325413
18,2,482.04999999999995,0,2,Recent Customers,-0.07857577509860696,-0.8050814356989685
233,1,73.5,0,1,At Risk,-2.2909662421677424,-0.04925631343799988
134,3,1304.81,0,3,Regular Customers,-0.09577076504214621,0.9101929446175221
26,2,397.88,0,2,Recent Customers,-0.3035906751373185,-0.6520480947173113
284,1,176.5,0,1,At Risk,-1.9546357142128203,0.39192738797665894
143,2,982.5699999999999,0,3,Regular Customers,-0.5151075712446155,0.7378502939310781
66,2,132.18,0,1,At Risk,-1.1709009764339906,-0.47540900898558175
113,1,612.29,0,1,At Risk,-1.0167245128610767,0.26262281111803604
267,1,1017.68,0,1,At Risk,-1.102653619981274,0.9893103231351708
353,1,383.7,0,1,At Risk,-1.6706997342329828,0.8110791419501481
78,2,1312.06,0,3,Regular Customers,-0.14877293990858056,0.46248545911196315
28,5,2481.6,1,3,Regular Customers,1.1632604833738647,0.3243063268764466
1,5,2056.89,1,0,Champions,2.0958163894031334,-1.4392663854913548
64,1,330.84,0,1,At Risk,-1.0933329882117624,-0.31721827059327484
79,5,2634.26,1,3,Regular Customers,0.8039307892893098,0.9893146581330793
143,1,599.68,0,1,At Risk,-1.1158157669181732,0.4031531011466118
39,2,192.72,0,2,Recent Customers,-0.7961894949770106,-0.6659296841179637
19,11,1789.77,1,0,Champions,1.7775108464550917,0.2349301096170661
9,8,4485.72,1,0,Champions,2.2174800213084995,0.01998815216234452
1,3,1316.66,1,2,Recent Customers,1.5175370380552147,-1.7567357267211319
82,3,348.71000000000004,0,1,At Risk,-0.5346417778378142,0.12199495769356548
9,6,1933.48,1,0,Champions,1.591176224910355,-0.38254360209350746
60,4,1662.28,1,3,Regular Customers,0.524333164087407,0.5800763040897725
15,1,125.22,0,2,Recent Customers,-1.0161800751971048,-1.557918212495099
30,1,349.83000000000004,0,2,Recent Customers,-0.7841154300759254,-0.7663168939652795
131,1,1089.18,0,1,At Risk,-0.7999639294024798,0.5650722513633459
92,2,716.35,0,3,Regular Customers,-0.4977480916907017,0.3457328086390993
43,3,12601.830000000002,1,3,Regular Customers,1.4074385711481354,1.0251836266462946
29,1,363.95,0,2,Recent Customers,-0.7528802771295676,-0.7727325540816982
22,4,5568.35,1,3,Regular Customers,1.469936972945144,0.4018842278285545
20,17,13400.24,1,0,Champions,3.080096269194793,1.1539929199770471
30,3,981.18,1,3,Regular Customers,0.33121664286780883,-0.12623597664306846
36,1,372.7,0,2,Recent Customers,-0.8217589436078752,-0.6311540979814044
75,2,1000.39,0,3,Regular Customers,-0.2624666010493847,0.3392540432483693
47,2,1161.5,0,3,Regular Customers,-0.016189829726730002,0.10227339750284005
198,2,207.79999999999998,0,1,At Risk,-1.3735326408164685,0.37847500160031144
166,1,95.19999999999999,0,1,At Risk,-2.0408993904944817,-0.16999856711791758
79,1,964.83,0,1,At Risk,-0.6660938744319457,0.20350394464082008
358,1,168.0,0,1,At Risk,-2.066081250057366,0.5203886483065653
39,2,437.82,0,2,Recent Customers,-0.4084841166663556,-0.3681287538731808
8,10,3692.28,1,0,Champions,2.347032626757845,-0.04091985054709877
50,2,599.56,0,3,Regular Customers,-0.352511742372851,-0.09983888571993335
16,5,11990.960000000001,1,0,Champions,2.1140407535409347,0.55932856154313
8,1,269.96,0,2,Recent Customers,-0.4341634509857219,-1.6444302140327915
311,2,561.71,0,1,At Risk,-1.075244603475954,1.0246225406608884
5,3,2134.01,1,2,Recent Customers,1.326703398697481,-0.8845159118564939
303,1,238.85,0,1,At Risk,-1.8365480320425531,0.5424818716910835
8,7,3781.7400000000002,1,0,Champions,2.0702245609329286,-0.15401795085557504
261,1,456.9,0,1,At Risk,-1.4731447758800564,0.6837342668613403
289,1,145.92,0,1,At Risk,-2.0509337905322345,0.33408801882187095
86,1,351.65,0,1,At Risk,-1.1758537409356706,-0.1102606932757125
23,10,9401.28,1,0,Champions,2.4154264326965547,0.9211890844870138
2,32,4124.69,1,0,Champions,3.813289393782686,-0.27680461489971536
40,2,519.61,0,2,Recent Customers,-0.33687782037873426,-0.2902283732840321
9,2,1020.42,1,2,Recent Customers,0.5216725259129241,-0.9392489336925853
227,1,160.54000000000002,0,1,At Risk,-1.9140692258462602,0.21615414733492236
316,1,218.45,0,1,At Risk,-1.894691205417157,0.536653479351122
36,5,1315.83,1,3,Regular Customers,0.769545220962334,0.24781278561562414
35,3,626.6,0,3,Regular Customers,0.06173502451543241,-0.1945591962070815
21,2,2794.51,1,3,Regular Customers,0.6978730408625196,-0.07272907016392866
78,1,440.42,0,1,At Risk,-1.0325483551762633,-0.08963889881590213
247,1,415.7,0,1,At Risk,-1.496872482216861,0.6145824564216649
40,1,197.71,0,1,At Risk,-1.1604525296396375,-0.79611188119241
239,2,511.36,0,1,At Risk,-1.019467848169054,0.8241610369693751
3,15,7281.38,1,0,Champions,3.317776312797871,-0.16439609122813084
4,9,2338.15,1,0,Champions,2.2687636936495914,-0.6163390001170049
234,2,2040.1,0,3,Regular Customers,-0.3560397777306443,1.3142237764203633
17,1,196.94000000000003,0,2,Recent Customers,-0.8478325746473646,-1.3193821321239476
8,1,144.0,0,2,Recent Customers,-0.7306232711470164,-1.8721443886695284
39,1,214.89999999999998,0,1,At Risk,-1.1116798537663275,-0.7815477980497411
29,2,646.68,0,2,Recent Customers,-0.11399785228066506,-0.40871329976347026
211,2,9864.26,1,3,Regular Customers,0.430352326127185,1.822743889738
317,1,452.84999999999997,0,1,At Risk,-1.5513528492487776,0.803296392049023
92,2,437.6,0,1,At Risk,-0.7310212614129374,0.16655302205185257
109,3,418.09999999999997,0,1,At Risk,-0.5564029264562751,0.36645942267757353
38,10,3338.2200000000003,1,0,Champions,1.7391104858291029,0.851940169861681
51,2,618.27,0,3,Regular Customers,-0.34538288327366445,-0.07635570899381053
19,4,3811.22,1,3,Regular Customers,1.3435891946595275,0.17522641062113695
10,8,3023.08,1,0,Champions,1.9940102381352338,-0.06327536771810267
29,7,1032.58,1,3,Regular Customers,0.9951303965286902,0.13669763468763424
29,10,2599.04,1,0,Champions,1.7206944506360142,0.5944903362052194
190,5,577.0600000000001,0,3,Regular Customers,-0.24782392303946785,0.9884757528598808
59,1,153.12,0,1,At Risk,-1.426396881273612,-0.647276290441153
22,1,739.1999999999999,0,2,Recent Customers,-0.3160783240419248,-0.6836205903448063
79,2,254.18,0,1,At Risk,-0.9303142274333399,-0.12616036179612342
60,1,1579.51,0,3,Regular Customers,-0.32898532144153114,0.21098656196938356
78,3,1126.85,0,3,Regular Customers,0.039445343041844466,0.5171533177799361
23,5,2099.54,1,3,Regular Customers,1.156313492287739,0.14347614279454315
52,1,1193.32,0,3,Regular Customers,-0.40812774165076365,0.019827282535644124
74,1,704.0400000000001,0,1,At Risk,-0.7906728303490748,0.04796343940481645
57,5,3344.38,1,3,Regular Customers,1.0399078684251601,0.8723498357170676
278,1,315.6,0,1,At Risk,-1.6721288862116386,0.5891924523651013
2,4,2291.19,1,0,Champions,1.8270804085947092,-1.2126982212458828
95,2,713.3,0,1,At Risk,-0.5118963246057017,0.3643076373808894
29,1,352.98,0,2,Recent Customers,-0.7673514780131719,-0.7838480488000701
22,1,177.31,0,2,Recent Customers,-0.9909898346512152,-1.2020278318644546
16,9,3641.24,1,0,Champions,2.011245344034276,0.3207299330277437
15,3,1339.41,1,2,Recent Customers,0.7313111649665364,-0.4322686170153949
2,20,13689.67,1,0,Champions,3.9730464326090136,-0.01284160445418217
232,1,180.1,0,1,At Risk,-1.8681614851860657,0.2715333116246878
276,1,305.1,0,1,At Risk,-1.6853726747776019,0.5723481145566769
106,2,641.13,0,1,At Risk,-0.603839096945053,0.39428518458350326
212,2,2683.82,0,3,Regular Customers,-0.1885141132156843,1.3517495295122244
23,9,6620.48,1,0,Champions,2.162929243240805,0.7570289005932384
11,7,4478.53,1,0,Champions,2.0404958343930746,0.08992988445659252
4,3,786.46,1,2,Recent Customers,0.923420460671201,-1.3633585716670376
10,2,1270.88,1,2,Recent Customers,0.5892476344920302,-0.7989575473075845
57,1,640.5,0,1,At Risk,-0.7372639043307387,-0.1493840810876353
59,4,2163.98,1,3,Regular Customers,0.6556440075808702,0.6656091666557703
90,2,1689.18,0,3,Regular Customers,-0.08307960741769582,0.64408376852314
67,8,6002.9,1,3,Regular Customers,1.6233349212662609,1.3412822942331997
33,1,671.69,0,2,Recent Customers,-0.5107347292453608,-0.4706673864315715
239,1,486.1,0,1,At Risk,-1.4103297764642522,0.6506491594517964
24,3,1174.58,1,3,Regular Customers,0.4986145856087022,-0.19713987037764638
115,1,185.9,0,1,At Risk,-1.5867901962691857,-0.1591228693848729
25,3,1013.26,1,3,Regular Customers,0.4136458718900896,-0.22603386722201874
128,6,3344.64,1,3,Regular Customers,0.8740721362719027,1.438092768337428
130,1,477.91,0,1,At Risk,-1.1870924328446797,0.26066227785339235
34,4,1775.18,1,3,Regular Customers,0.767682335184827,0.2518271074388248
5,2,1346.97,1,2,Recent Customers,0.8483404629886442,-1.1620471929342817
22,12,3722.82,1,0,Champions,2.143680920814877,0.6207836833173866
155,1,318.05,0,1,At Risk,-1.4463970265660882,0.22345769768486673
107,3,623.51,0,3,Regular Customers,-0.36027295507592816,0.500092966977637
3,1,314.44,0,2,Recent Customers,-0.052319372219401805,-2.1031499184857125
335,1,114.0,0,1,At Risk,-2.22332273999418,0.33820848747237514
331,1,919.98,0,1,At Risk,-1.2322642826664874,1.0883456547116919
149,2,2209.85,0,3,Regular Customers,-0.14666226626533496,1.058713737622187
11,5,601.98,1,2,Recent Customers,0.8293170391357669,-0.7504856300630178
17,5,4051.17,1,0,Champions,1.5777552131834496,0.2004075333946704
11,4,1643.18,1,3,Regular Customers,1.1399730017728036,-0.454889146835406
19,1,686.05,0,2,Recent Customers,-0.29802046038016616,-0.79935878427564
30,1,91.68,0,1,At Risk,-1.4152871641924025,-1.2511271134755462
11,1,245.1,0,2,Recent Customers,-0.5896869590718056,-1.4971067875117487
1,11,3849.78,1,0,Champions,3.020121488166067,-0.9459154693385012
8,9,4881.88,1,0,Champions,2.3931840044058754,0.02431534172673299
325,1,63.0,0,1,At Risk,-2.4896595493730156,0.10561330575228983
58,1,620.13,0,1,At Risk,-0.7590943671663869,-0.15029973630015783
12,4,3807.15,1,0,Champions,1.50764092016834,-0.09825137981071999
151,3,2744.0299999999997,0,3,Regular Customers,0.21120470644757708,1.2559736926679974
10,5,2996.05,1,0,Champions,1.6228635181316908,-0.22164376851939957
330,1,225.89999999999998,0,1,At Risk,-1.8953701890905972,0.5762089858085788
5,2,610.52,1,2,Recent Customers,0.47356441236831287,-1.4499169588748828
39,4,1970.6,1,3,Regular Customers,0.7661661591871121,0.37449324213578195
25,6,1331.39,1,3,Regular Customers,1.0493771117672372,0.08739063777062872
42,12,17628.46,1,0,Champions,2.6418896996900694,1.5837137308567704
59,4,1113.02,1,3,Regular Customers,0.3405979709765648,0.4236187068393514
1,4,862.81,1,2,Recent Customers,1.519234055004342,-1.8251677740687504
15,22,13787.54,1,0,Champions,3.419285108419994,1.0857449497373488
4,31,12279.82,1,0,Champions,4.1075224057029445,0.4325313391064774
4,15,8476.57,1,0,Champions,3.304591502544038,0.03240932918156311
8,7,2283.63,1,0,Champions,1.831134214413298,-0.3376659773966007
28,6,2863.08,1,3,Regular Customers,1.3705215807675108,0.4353316553954824
372,1,89.14,0,1,At Risk,-2.378718198394345,0.31572547889222535
114,1,4873.8099999999995,0,3,Regular Customers,-0.03713699836035106,1.0231543754770318
26,2,1247.61,0,3,Regular Customers,0.23748036758151367,-0.23644524558408678
206,1,389.01,0,1,At Risk,-1.459227969388879,0.4759157343646658
28,6,1035.8,1,3,Regular Customers,0.8887282601166357,0.0652607017741241
127,4,855.91,0,3,Regular Customers,-0.07325367669430013,0.8083765759717892
70,2,869.67,0,3,Regular Customers,-0.30279580221640834,0.2451671452836779
7,4,582.1,1,2,Recent Customers,0.8033320221364174,-1.0894761808753755
29,3,957.59,1,3,Regular Customers,0.33221502934855945,-0.1558768425079537
8,4,4939.99,1,0,Champions,1.7715916898468096,-0.23651842667412987
80,2,797.71,0,3,Regular Customers,-0.3940344817091565,0.2972822975683172
20,1,219.0,0,2,Recent Customers,-0.8566168470120828,-1.1831773490911017
71,1,283.55,0,1,At Risk,-1.2053018480962963,-0.30837424166824157
7,8,2340.84,1,0,Champions,1.9944315909290908,-0.3582707191173286
15,9,6868.29,1,0,Champions,2.3352374538930873,0.5133715538733407
292,1,603.42,0,1,At Risk,-1.3842285333197164,0.8557359684519005
30,10,2712.91,1,0,Champions,1.728492803771217,0.630888078263483
15,15,9706.52,1,0,Champions,2.924507384486809,0.8191136753510413
97,3,1149.02,0,3,Regular Customers,-0.03365273195989902,0.6608686058750368
29,13,4396.13,1,0,Champions,2.188045869583873,0.8781017144830615
1,1,848.55,1,2,Recent Customers,0.6822255425205859,-2.18172963956724
9,5,4708.86,1,0,Champions,1.8736042172088319,-0.11743314658896761
106,1,343.36,0,1,At Risk,-1.2661764630623917,0.012249921926643892
4,2,1053.49,1,2,Recent Customers,0.8015615830767912,-1.3670550129881058
151,2,1030.98,0,3,Regular Customers,-0.5129799793411519,0.7896239170746783
71,1,238.25,0,1,At Risk,-1.2875204005331233,-0.37152725106355566
5,2,644.95,1,2,Recent Customers,0.49953601774647105,-1.4299678720830855
3,25,5781.73,1,0,Champions,3.647761712898773,-0.06265865933568533
32,6,2656.13,1,3,Regular Customers,1.2856010113382,0.48992807230811486
85,4,997.63,0,3,Regular Customers,0.151230615718955,0.6120130643737648
4,5,725.07,1,2,Recent Customers,1.2518246230310888,-1.237821217684809
5,4,1031.41,1,2,Recent Customers,1.184107492888932,-1.0637810015833797
371,1,427.8,0,1,At Risk,-1.638187081188203,0.8820463503461609
28,7,2609.1,1,3,Regular Customers,1.4473194796646076,0.45259053234990787
11,7,3980.7,1,0,Champions,1.9846359158282294,0.04702324286061327
71,4,836.33,0,3,Regular Customers,0.13557434366087473,0.4352141444880845
114,1,453.01,0,1,At Risk,-1.16264819638396,0.1586363663825489
24,12,18895.91,1,0,Champions,2.8819757175019496,1.2652005294532451
180,1,236.26000000000002,0,1,At Risk,-1.6436183257474266,0.2098124523044545
234,1,383.95,0,1,At Risk,-1.5138827648417446,0.5515849855988143
353,1,110.39999999999999,0,1,At Risk,-2.258338016612189,0.3597074640474673
315,2,779.5699999999999,0,1,At Risk,-0.9249387261659245,1.1518877748709893
333,1,234.0,0,1,At Risk,-1.8821852725939352,0.5947036215677571
372,1,155.35,0,1,At Risk,-2.1175850533915686,0.5163048307661157
78,2,1013.04,0,3,Regular Customers,-0.27130324221257407,0.3683685341203634
64,1,427.6,0,1,At Risk,-0.9720102562917726,-0.2240288942089689
134,2,540.13,0,1,At Risk,-0.7737758071536471,0.4793142808910903
52,7,21279.29,1,0,Champions,2.2119407706658474,1.5990950596079792
2,11,4196.01,1,0,Champions,2.906057827976422,-0.6575198180197844
1,209,33053.19,1,0,Champions,6.62938933971429,0.9319257629120745
4,5,4090.88,1,0,Champions,2.0716933403890034,-0.6080706896636348
129,1,275.88,0,1,At Risk,-1.4439685696789062,0.056246595173297165
81,1,4366.78,0,3,Regular Customers,0.039984915788562454,0.7687498960632546
23,6,21429.39,1,0,Champions,2.397079498413502,1.0483483985191164
236,3,3010.74,0,3,Regular Customers,0.0854955179328001,1.5713262965407624
281,2,3811.95,0,3,Regular Customers,-0.12937966409355303,1.6574004270701672
87,1,112.07999999999998,0,1,At Risk,-1.7195147811606804,-0.5172545146430212
16,13,7834.650000000001,1,0,Champions,2.6789493716875254,0.7284486470228819
117,2,2791.59,0,3,Regular Customers,0.05575755649617326,0.9916757619093838
52,3,1531.44,1,3,Regular Customers,0.3372735863695758,0.3757601685760696
8,2,1898.52,1,2,Recent Customers,0.8560896531079305,-0.7800856996975772
138,2,494.08,0,1,At Risk,-0.8271013067110947,0.4654322768402187
317,1,1693.88,0,1,At Risk,-0.9266052601879265,1.28317215235233
4,7,6989.63,1,0,Champions,2.585947284509905,-0.30297111500398205
239,1,1143.6,0,1,At Risk,-1.0052392093479579,0.9618038518274006
211,1,1351.45,0,1,At Risk,-0.8787325484405247,0.9439344773666359
60,1,892.47,0,1,At Risk,-0.5994389583368404,0.0032480337951036695
17,5,1386.04,1,3,Regular Customers,1.0694222561202131,-0.19004881814506983
20,6,822.23,1,3,Regular Customers,0.9026589471831146,-0.22336382601286014
38,8,3981.36,1,0,Champions,1.6410479192387948,0.8393296493620542
64,2,826.74,0,3,Regular Customers,-0.2930433733837156,0.17077969027121842
5,5,2330.92,1,0,Champions,1.7354232438824573,-0.6972871643661991
2,6,2225.91,1,0,Champions,2.117841352680929,-1.0945137959539903
9,2,532.8199999999999,0,2,Recent Customers,0.21399753968229504,-1.1755776055097593
364,1,311.95,0,1,At Risk,-1.7802644102983642,0.7552986703819204
10,3,463.66,1,2,Recent Customers,0.3721111272957644,-1.0556473337433596
65,1,91.85,0,1,At Risk,-1.7030817224280201,-0.7714149042882256
192,1,324.92,0,1,At Risk,-1.517597790938527,0.3661399769072415
374,1,192.60000000000002,0,1,At Risk,-2.018302164744791,0.5975242700876288
257,1,400.53999999999996,0,1,At Risk,-1.5295450964152941,0.6261452869355246
335,2,545.48,0,1,At Risk,-1.1174306633124895,1.0609431905034645
53,2,860.41,0,3,Regular Customers,-0.20331442555724608,0.06776729971446768
19,1,430.48,0,2,Recent Customers,-0.5185909456440144,-0.9687814938143382
366,1,254.03,0,1,At Risk,-1.8793935788883709,0.6842239384342163
10,3,6977.04,1,0,Champions,1.6567016170756153,-0.06893870332164058
187,1,427.58,0,1,At Risk,-1.3777351541753475,0.44922869691879214
37,3,483.65000000000003,0,2,Recent Customers,-0.08147639719114537,-0.25442212977704093
178,1,489.31,0,1,At Risk,-1.295193226315334,0.4671377242651748
261,3,514.85,0,1,At Risk,-0.7894401162204931,0.9922772371082298
45,1,229.64000000000001,0,1,At Risk,-1.1337541157993718,-0.6688946455914146
102,1,125.92,0,1,At Risk,-1.7248915964785771,-0.37542641607128635
148,2,1063.46,0,3,Regular Customers,-0.4906718547775563,0.7882729900138632
96,2,572.2,0,1,At Risk,-0.620201518242732,0.2907271416767593
281,1,166.04,0,1,At Risk,-1.9793923000103653,0.3630982216225211
262,1,1542.08,0,1,At Risk,-0.8985555896401948,1.1286155622452048
